Scraped by,Name,URL,user_id,Bio(text),星座,Sex,following count,fans count,liked n collected,ip_location,tags(text),图文报价(RMB),图文报价有对号,红人健康等级,什么薯?,活跃粉丝占比(仅>1K),粉丝女性比例,(先不填)近180天粉丝增量,粉丝年龄<18,粉丝年龄18-24,粉丝年龄25-34,粉丝年龄35-44,粉丝年龄>44,兴趣标签,地域分布,笔记热词
Xiaohan,行走达拉斯的張姑娘🎈,https://www.xiaohongshu.com/user/profile/5afe57874eacab6bff64b75b,5afe57874eacab6bff64b75b,定居DFW九年 资深老达拉斯一枚 吃吃喝喝玩玩乐乐~,,F,330.0,916.0,5382,,美国,40,0.0,,甜筒薯,,85.24,,16.49,25.42,32.98,17.12,7.96,"1        美食        6.98%
2        时尚        5.62%
3        家居家装        5.01%
4        影视        4.64%
5        美妆        4.18%","1        广东        11.03%
2        江苏        7.60%
3        山东        6.93%
4        浙江        6.49%
5        上海        5.72%",
Xiaohan,似那山水似星辰,https://www.xiaohongshu.com/user/profile/558a4a065894460336de85bf,558a4a065894460336de85bf,梦想是世界各地旅居，目前在美留学。要吃好吃的，没法穷游。 喜欢文物和博物馆，爱写又臭又长的游记。 两人对酌山花开，我与诸君俱发财。 万里归来年愈少，千金散尽还复来。 claregogo@163.com,,F,440.0,903.0,51307,,旅行博主,,,,,,,,,,,,,,,
Xiaohan,闲不住的黄姨,https://www.xiaohongshu.com/user/profile/5859b26f6a6a6967855d7c65,5859b26f6a6a6967855d7c65,🇺🇸不知道为啥被身边小伙伴叫黄姨，黄姨就黄姨吧～有只长毛橘叫小满 🍐ENFJ 170cm 60kg 🎼Part-time event planner 👩🏻分享生活|美食|旅行|旗袍,Gemini,F,190.0,884.0,12000,,"美国, 旅行博主",30,0.0,,泡泡薯,,86.98,,23.69,25.65,28.53,14.64,7.47,"1        美食        6.12%
2        时尚        5.17%
3        影视        5.00%
4        素材        4.82%
5        娱乐        4.18%","1        广东        10.70%
2        江苏        7.54%
3        山东        6.82%
4        浙江        6.16%
5        上海        5.88%",
Xiaohan,淘🐱喵,https://www.xiaohongshu.com/user/profile/5c64384000000000110164ad,5c64384000000000110164ad,记录达拉斯日常,,F,97.0,777.0,4640,,,30,0.0,,泡泡薯,,84.12,,25.14,24.46,25.83,15.97,8.58,"1        美食        5.85%
2        影视        4.88%
3        素材        4.40%
4        时尚        4.34%
5        娱乐        4.14%","1        广东        9.66%
2        山东        6.65%
3        江苏        6.49%
4        河南        5.56%
5        浙江        4.99%",
Xiaohan,Charlotte小盆友,https://www.xiaohongshu.com/user/profile/57fdaead82ec3961690f6b93,57fdaead82ec3961690f6b93,"Foodie🍰 Workout💪 Frenchie🐶 ❤️很多有趣的事物 Dallas, TX",,F,1381.0,727.0,11000,,UnitedStates,,,,,,,,,,,,,,,
Xiaohan,A+女神,https://www.xiaohongshu.com/user/profile/591cf96250c4b428b4eff077,591cf96250c4b428b4eff077,- 一个超级爱吃爱探店爱分享的户外运动‍爱好者。 - 致力于发掘周边和旅途中的各种美食美景 - 笔记都有整理，请配合收藏夹食用。,,F,483.0,726.0,9737,,UnitedStates,,,,,,,,,,,,,,,
Xiaohan,杜松混合茉莉的风,https://www.xiaohongshu.com/user/profile/5ec7a678000000000100322e,5ec7a678000000000100322e,美妆：非专业认真研究人士。 美食：愿尝遍天下美食+爱做饭贤妻。 健身：七年+160cm+48kg+19% 学习：中专生一路打怪升级到在美国读本科。 交友：喜欢结交不装逼不做作真实有趣的友-ENTJ人,,F,413.0,705.0,8335,,美国,,,,,,,,,,,,,,,
Xiaohan,杰弗瑞达拉斯JeffreyDallas,https://www.xiaohongshu.com/user/profile/67845b1b000000000801f5d8,67845b1b000000000801f5d8,抖音难民 感谢您的盛情款待 GenX TikTok Refugee,,M,2605.0,667.0,5554,,UnitedStates,,,,,,,,,,,,,,,
Xiaohan,REEWERT,https://www.xiaohongshu.com/user/profile/57f5f8b06a6a6963e65ffc89,57f5f8b06a6a6963e65ffc89,"德州🇺🇸 | JHUer DC🇺🇸 |北京🇨🇳
ESTJ | 双子 | 美食旅游探店小能手🧚‍♀️
Risk打工🐶 Pilates 教练🧘🏻‍♀️
ig：reewert526",Gemini,F,739.0,665.0,9668,,"美国TX, 美食博主, 旅行博主, 约翰霍普金斯大学",,,,,,,,,,,,,,,
Xiaohan,Peach is yummy,https://www.xiaohongshu.com/user/profile/5cf39f8e000000001701f516,5cf39f8e000000001701f516,北美达拉斯吃喝玩乐小博主 ❤️：三坑：汉服，洛丽塔，jk ❤️：美食，旅游，海边，大自然，🐱,Scorpio,F,803.0,626.0,4620,,"美国得克萨斯, 探店博主",,,,,,,,,,,,,,,
Xiaohan,AAAbby,https://www.xiaohongshu.com/user/profile/5f8e26de000000000101de15,5f8e26de000000000101de15,Love never fails. 带证上岗的无名老师,,F,171.0,598.0,4544,,,,,,,,,,,,,,,,,
Xiaohan,达拉斯赵德柱,https://www.xiaohongshu.com/user/profile/5b6a0b58c207e50001f9124d,5b6a0b58c207e50001f9124d,美国第一流量汗,,M,2842.0,591.0,5561,,"35岁, 美国",,,,,,,,,,,,,,,
Xiaohan,银河战舰,https://www.xiaohongshu.com/user/profile/5fdc406c000000000100ad2e,5fdc406c000000000100ad2e,喜欢车，但是不是专业的，业余爱好者，带你们看美国新车二手车市场价格，喜欢的人加关注交个朋友吧！,Cancer,M,221.0,582.0,8191,,美国,,,,,,,,,,,,,,,
Xiaohan,榴莲会飞,https://www.xiaohongshu.com/user/profile/604fd7a70000000001007a46,604fd7a70000000001007a46,,,F,454.0,561.0,1722,,,,,,,,,,,,,,,,,
Xiaohan,嘟嘟嘟,https://www.xiaohongshu.com/user/profile/56b2e6dae4251d7f46ab14e3,56b2e6dae4251d7f46ab14e3,工程师一枚。日常穿搭，护肤美妆，家居厨卫，都很感兴趣～,Taurus,F,440.0,545.0,9493,,美国,,,,,,,,,,,,,,,
Xiaohan,Summer小兔几,https://www.xiaohongshu.com/user/profile/5aa1bb384eacab56033470ce,5aa1bb384eacab56033470ce,心血来潮更新一次的懒懒薯～,Pisces,F,502.0,544.0,11817,,美国,,,,,,,,,,,,,,,
Xiaohan,杨小悬,https://www.xiaohongshu.com/user/profile/5b778c2d5b95340001d6de60,5b778c2d5b95340001d6de60,白羊INFP-A 欢迎来到我的朋友圈,,F,827.0,507.0,8932,,"27岁, 美国, 南卫理公会大学",,,,,,,,,,,,,,,
Xiaohan,Mrs Girl,https://www.xiaohongshu.com/user/profile/625cc665000000001000e71f,625cc665000000001000e71f,,,F,2791.0,500.0,3965,,,,,,,,,,,,,,,,,
Xiaohan,香蕉国大王,https://www.xiaohongshu.com/user/profile/568b2f486a6a6962f22d07ba,568b2f486a6a6962f22d07ba,钢琴博士在读 大福🐱 元宝🐶 上课请私信🎹📩,Taurus,F,936.0,431.0,2356,,美国,,,,,,,,,,,,,,,
Xiaohan,亚瑟在达拉斯,https://www.xiaohongshu.com/user/profile/6349a37f000000001802bbed,6349a37f000000001802bbed,🇺🇸旅美12年，95后东北人在达拉斯 TikTok创业中💪 相信【相信】的力量👊,,M,14.0,430.0,2844,,美国TX,,,,,,,,,,,,,,,
Xiaohan,微笑微笑,https://www.xiaohongshu.com/user/profile/613f2b6a000000000201f3ba,613f2b6a000000000201f3ba,这个人非常有毛病,,F,18.0,425.0,1894,,美国TX,,,,,,,,,,,,,,,
Xiaohan,Momo我来助你,https://www.xiaohongshu.com/user/profile/627d9846000000002102336f,627d9846000000002102336f,还没有简介,,M,1198.0,415.0,13000,,,,,,,,,,,,,,,,,
Xiaohan,人生励志当肥宅,https://www.xiaohongshu.com/user/profile/5ab3172c11be105422211c84,5ab3172c11be105422211c84,,,F,139.0,394.0,5337,,"UnitedStates, 建筑工人",,,,,,,,,,,,,,,
Xiaohan,Rosemary🍓,https://www.xiaohongshu.com/user/profile/5cfc717b000000000501b4de,5cfc717b000000000501b4de,愿世界和平,,F,395.0,370.0,3390,,,,,,,,,,,,,,,,,
Xiaohan,小李多喝水,https://www.xiaohongshu.com/user/profile/5d6c539f000000000101bbfd,5d6c539f000000000101bbfd,🌟不定时分享吃喝玩乐🐭,,F,152.0,342.0,3280,,,,,,,,,,,,,,,,,
Xiaohan,童真,https://www.xiaohongshu.com/user/profile/5df4c6bb000000000100b24b,5df4c6bb000000000100b24b,中美情侶🇨🇳🇺🇸@Raphael 异国恋不易，且行且珍惜。,,F,189.0,341.0,1069,,,,,,,,,,,,,,,,,
Xiaohan,西瓜lyxxx,https://www.xiaohongshu.com/user/profile/5aa34d334eacab095adb82e3,5aa34d334eacab095adb82e3,｜反内耗反焦虑联盟副主席（正的等你来）｜爱吃爱玩委员会成员｜哈哈哈哈怪｜ “自己”就是你生命中最棒的意义 Always keep the faith,,,66.0,330.0,9762,,,,,,,,,,,,,,,,,
Xiaohan,Hot girl,https://www.xiaohongshu.com/user/profile/5bf0eea1da9ae10001cfd0a1,5bf0eea1da9ae10001cfd0a1,🫵,,F,199.0,277.0,5984,,,,,,,,,,,,,,,,,
Xiaohan,Styleindallas,https://www.xiaohongshu.com/user/profile/6785e363000000000801d306,6785e363000000000801d306,"Fashion, beauty , aesthetic 📸 Married 💍 Insta/tt: styleindallasss",,F,32.0,246.0,6633,,UnitedStates,,,,,,,,,,,,,,,
Ning,间歇减肥的吃货柳🤪,https://www.xiaohongshu.com/user/profile/5a700b5de8ac2b38e1053423,5a700b5de8ac2b38e1053423,"📍🇺🇸Dallas
🧡地平线房顶工程公司
⬆️房顶服务范围：达拉斯·奥斯汀·休斯顿
🤪被干房顶工程耽误的探店吃货、旅行博主
🎞️66传媒 🦙小农场66 Ranch 🧘‍♀️佛系回复",,女,665.0,2454.0,14868,美国,['处女座' '美国' '旅行博主'],,,,,,,,,,,,,,,
Ning,RAINA,https://www.xiaohongshu.com/user/profile/5f03c93d000000000100466e?xsec_token=AB0NWQUG2qy5nRPLhAA6RdW7DMes4l4Yss0Zng-57E-bU=&xsec_source=pc_search,5f03c93d000000000100466e,"美妆护肤｜日常v l o g｜育儿｜探店｜旅游
励志让每个关注我的女孩变得更漂亮更开心！
📍达拉斯美国  江苏
💗好物种草
💗家有一个女娃滑板",,女,2013.0,2054.0,15093,美国,['金牛座' 'UnitedStates' '物流从业者'],,,,,,,,,,,,,,,
Ning,达拉斯幸福家Hannah,https://www.xiaohongshu.com/user/profile/62f0659d000000001f015932?xsec_token=AB6WjQv3r3YYTmivesudVEv9CyBnN2_78_Xq37y65jcEU=&xsec_source=pc_search,62f0659d000000001f015932,HannahRealtor,,,276.0,1875.0,6475,美国,['UnitedStates' '家居博主'],,,,,,,,,,,,,,,
Ning,达拉斯小鸡腿,https://www.xiaohongshu.com/user/profile/576d3bde82ec3952ff40c5e1?xsec_token=ABoIYWVOdE0WPH4xdZZ8PlPI6Nroz4DEqZXkCFi2OW9ow=&xsec_source=pc_search,576d3bde82ec3952ff40c5e1,"慢慢了解世界，慢慢更新自己
吃喝玩乐+宝宝们，随心分享
佛系更新中～比心🫰",,女,837.0,1653.0,11636,美国,['美国' '探店博主'],,,,,,,,,,,,,,,
Ning,诶哟 Z,https://www.xiaohongshu.com/user/profile/54d82c482e1d9366ebfc8ce5?xsec_token=ABE21ZO1kkLSJjXVijLysa1IPGmh7ixoOMa3uCXnIUAaI=&xsec_source=pc_search,66fed8fd000000002a036bfa,深爱旅游打卡探店的药剂师一枚,,F,456.0,1355.0,43000,,美国,,,,,,,,,,,,,,,
Ning,Sherry是睿睿呀,https://www.xiaohongshu.com/user/profile/5649379603eb842b7ed00477?xsec_token=AB_w5tX7QDKDqxDirwjUrIWLT3e7tIZgwd2k8ycIiZJUs=&xsec_source=pc_search,5649379603eb842b7ed00477,"北美生活探店| Chinese Girl in Dallas TX
吃喝玩乐样样行 | 坐标达拉斯 | Let's making friends",,女,1173.0,1326.0,28064,美国,['UnitedStates' '美食博主'],,,,,,,,,,,,,,,
Ning,J Aoshima Beauty,https://www.xiaohongshu.com/user/profile/570b4b5a1c07df4cfd6ccbf0?xsec_token=ABfFffhEiMsuQiS2JOP_eWD_q5LCB4whqC7WDlFQm1gHk=&xsec_source=pc_search,570b4b5a1c07df4cfd6ccbf0,"🤷🏼‍♀️美甲美睫｜皮肤管理｜培训学徒
💅🏿 8765 stockard dr.frisco Tx 75034
私信不回",,女,2815.0,1105.0,7331,美国,['美国'],30,,,,44.16,96.59,,,,38.58,,,,,
Ning,達拉斯里長,https://www.xiaohongshu.com/user/profile/5d6a927e00000000010068b9?xsec_token=ABDcU83DOFK8OtEEH9vc6KuBbtD66dbuNl6NwKWCqRx_Q=&xsec_source=pc_search,5d6a927e00000000010068b9,"達拉斯，請多指教👋
在朝九晚五平淡生活中，
熱烈又燦爛的挖掘美好✨",,女,353.0,794.0,8149,美国,['UnitedStates...'],,,,,,,,,,,,,,,
Ning,喷嚏大魔怪,https://www.xiaohongshu.com/user/profile/60c7988c0000000001005e11?xsec_token=ABo4csva_swZOcpy5yKNq52J1nKiqMtp-AFiFjcnXUvXM=&xsec_source=pc_search,60c7988c0000000001005e11,一个人吃饭旅行到处走走停停（抱歉兄弟们，我只是喜欢分享适合单独出游的地点，有疑问我都会尽力回复，愿意跟我分享你们的兴趣爱好的话我也非常乐意了解。但是我原则上不交友，尤不喜闲聊。另，我自己开心极了）,,女,12.0,710.0,6159,美国,['UnitedStates'],,,,,,,,,,,,,,,
Ning,兔老板,https://www.xiaohongshu.com/user/profile/56ada7e482ec39541becb6ff?xsec_token=ABG1SEu6ubOH3YwwNxcXi0TybxxyvYqSTeW57u9SyxtBA=&xsec_source=pc_search,56ada7e482ec39541becb6ff,"我的爱消耗在许多美好的事物上
我不断为之燃烧
那些事物才光彩夺目",,女,928.0,543.0,4778,美国,['双子座' '美国得克萨斯' '料理博主'],,,,,,,,,,,,,,,
Ning,利娃呱不呱,https://www.xiaohongshu.com/user/profile/5c4e1c6b00000000110216f7?xsec_token=ABxWdTJ49TIgmstkTq0qKFGoJw4PgWjgklIGkWMjubL3A=&xsec_source=pc_search,5c4e1c6b00000000110216f7,"❻花里胡哨 利大无穷❻
🇨🇳成都 ➩ 重庆 ➩ 北京 ➩ 🇺🇸Dallas | 🌍旅行40+国家
🔢 数字游民 | 🧘身心灵修炼
706Dallas主理人 | 🤍 欢迎来一起玩",,F,403.0,428.0,6380,,美国,,,,,,,,,,,,,,,
Ning,年轻就要吃吃吃🍀,https://www.xiaohongshu.com/user/profile/5d34030d0000000011005892?xsec_token=ABryrmGucljSioAuGXn7YBBSHa6b08gaWXGDE38aP1Lrs=&xsec_source=pc_search,5d34030d0000000011005892,随便记录😇,,女,106.0,389.0,8270,美国,[],,,,,,,,,,,,,,,
Ning,是阿点啊,https://www.xiaohongshu.com/user/profile/5fa04c2c0000000001007566?xsec_token=ABBAVnG2XOCCJ92Jtfc-CA2Oprvud5yzbCrmP6E0oWR00=&xsec_source=pc_search,5fa04c2c0000000001007566,还没有简介,,女,131.0,335.0,3089,美国,[],,,,,,,,,,,,,,,
Ning,长腿汉堡包🍔,https://www.xiaohongshu.com/user/profile/5ab249e04eacab0790fb78b3?xsec_token=AB_aBJVWtaE3ZaxT55hwLChVCS2JqQtAofmA7cDRsnixQ=&xsec_source=pc_search,5ab249e04eacab0790fb78b3,长腿汉堡包正在达拉斯狂奔,,女,1597.0,308.0,5259,美国,['双鱼座'],,,,,,,,,,,,,,,
Ning,达拉斯藤井树,https://www.xiaohongshu.com/user/profile/5801c70f6a6a697bad62b653?xsec_token=ABANjQ9EOPPPWq4br6tKBzkPCFXYWf3zNJ_m9b4IALm7A=&xsec_source=pc_search,5801c70f6a6a697bad62b653,"达拉斯小吃货一枚
分享美好的生活~~~",,女,265.0,306.0,3085,美国,['美国'],,,,,,,,,,,,,,,
Ning,小温柔Sylvia,https://www.xiaohongshu.com/user/profile/58b325ce50c4b442ae017a30?xsec_token=ABM8yc5zw6PA1yR5WN9e1PbYejD4g6T8KZXOj6_95NfEs=&xsec_source=pc_search,58b325ce50c4b442ae017a30,"北京🇨🇳→ 达拉斯🇺🇸
163cm ♋巨蟹座 乐观开朗 
IG: sylviviishere
探店 | 美食 |  旅游 | 爱用好物
热爱旅游、生活、小动物，喜欢尝试新鲜事物",,女,961.0,304.0,10699,美国,['北京海淀'],,,,,,,,,,,,,,,
Ning,留大聪明,https://www.xiaohongshu.com/user/profile/5a737fe211be1032dfeccbdf?xsec_token=ABxeQ3XxIo8bVeTEyQ3jzWEEyoVsarCDjG0StpWbdrerM=&xsec_source=pc_search,5a737fe211be1032dfeccbdf,德州达拉斯 · 女博士 · 美国信用局高级数据科学家,,女,334.0,287.0,2962,美国,['UnitedStates'],,,,,,,,,,,,,,,
Ning,🐈小乔吃喝玩乐,https://www.xiaohongshu.com/user/profile/592463636a6a696f6fa9c1c1?xsec_token=ABDiMgOTscxN8NnAt04jqWOERxSPxJlkHCLqvd9uXpNAQ=&xsec_source=pc_search,592463636a6a696f6fa9c1c1,小乔皮娃一枚｜坐标达拉斯｜分享各种带娃吃喝玩乐｜家中无猫却是猫奴,,女,330.0,283.0,5031,美国,['探店博主'],,,,,,,,,,,,,,,
Ning,茄茄公主 🍆,https://www.xiaohongshu.com/user/profile/5c0c067c0000000005022f0a?xsec_token=ABgwqZM-6jwfcEk6IVSTDAZsLeNpEDrGE2QgDQDKU9PLo=&xsec_source=pc_search,5c0c067c0000000005022f0a,坐标 达拉斯 美国🇺🇸 来美14 年 家庭成员： 三只毛小孩🐶 喜欢旅游 和探索各地美食🥰,,女,251.0,258.0,3607,美国,['35岁' 'UnitedStates'],,,,,,,,,,,,,,,
Ning,养龙猫的馋嘴月兔,https://www.xiaohongshu.com/user/profile/623d476a000000001000b343?xsec_token=ABLM5x2MxajXTsf9MA0rxJHBb0reK6u_26JuJbk4O08Ew=&xsec_source=pc_search,623d476a000000001000b343,"期待认识可以一起疯，一起变胖的新朋友❤
日常+美食+旅游+萌宠
美食| 新店?我已经在了 减肥?美食当前明天吧
旅游| 我在机场等你
宠物| 我的心都化了 你要什么都给你",,女,532.0,189.0,2356,美国,['34岁' 'UnitedStates'],,,,,,,,,,,,,,,
Ning,朱迪日常,https://www.xiaohongshu.com/user/profile/663ab3fc0000000007005c31?xsec_token=ABAICIYo6NZAI5aRHjCcFqwEXC6QcWrKszIVGCdEIkFAs=&xsec_source=pc_search,663ab3fc0000000007005c31,"探店测评|好物分享
常驻Dalls TX ～",,,21.0,189.0,2478,美国,[],,,,,,,,,,,,,,,
Ning,且徐行,https://www.xiaohongshu.com/user/profile/626ec8020000000021021067?xsec_token=ABoU1RxhVAuszwSM7_JUw7u3HVs8-aFBGNLWGQDAbHNkE=&xsec_source=pc_search,626ec8020000000021021067,浪漫就是浪费时间慢慢走,,女,135.0,102.0,1372,美国,[],,,,,,,,,,,,,,,
Ning,KikiBitesandVibes,https://www.xiaohongshu.com/user/profile/606c83060000000001002c85?xsec_token=ABjpOWH3ZWEAO0928bq-z7vTHBsKXp_uDu2EW6G5TFnos=&xsec_source=pc_search,606c83060000000001002c85,"📍德州长大的吃货🇨🇳🇺🇸 
分享好吃跟好玩的😝
业余的美食家 🫶",,女,119.0,69.0,2336,美国,[],,,,,,,,,,,,,,,
Ning,安妮Annie,https://www.xiaohongshu.com/user/profile/564d4a9167bc65539cd768d4?xsec_token=ABpNjtXdGtAf0M77UIU96JFwbN2dDRBEDW3Omwga0KDEQ=&xsec_source=pc_search,564d4a9167bc65539cd768d4,Shanghai｜Dallas,,女,46.0,1116.0,3999,,['40岁' '美国'],,,,,,,,,,,,,,,
