Scraped by,Name,URL,user_id,Bio(text),星座,Sex,following count,fans count,liked n collected,ip_location,tags(text),图文报价(RMB),图文报价有对号,红人健康等级,平台等级,活跃粉丝占比(仅>1K),粉丝女性比例,粉丝年龄<18,粉丝年龄18-24,粉丝年龄25-34,粉丝年龄35-44,粉丝年龄>44,兴趣标签,地域分布,
Xiaohan,九公子。,https://www.xiaohongshu.com/user/profile/5d72c2a60000000001019168,5d72c2a60000000001019168,📍达拉斯 📍西雅图 金牛座｜INTJ-A｜人活一辈子就想吃点好吃的 啥都想尝尝，啥都想试试 规则边缘内打破局限,Taurus ,F,51,1011,4683,,,40,0,,泡泡薯,46.6,93.06,12.58,28.47,38.45,15.36,5.11,"1        美食        6.32%
2        时尚        5.93%
3        美妆        5.80%
4        素材        4.60%
5        出行        4.26%
6        家居家装        4.24%
7        影视        4.06%
8        健康        4.03%
9        娱乐        4.00%
10        教育        3.66%
11        科技数码        3.56%
12        兴趣爱好        3.14%
13        人文        2.91%
14        生活记录        2.74%
15        潮流        2.70%
16        母婴        2.55%
17        摄影        2.26%
18        情感        2.18%
19        知识        0.79%
20        职场        0.70%","1        广东        11.47%
2        江苏        7.51%
3        浙江        6.52%
4        山东        6.38%
5        河南        5.26%
6        上海        4.95%
7        北京        4.80%
8        四川        4.29%
9        河北        3.83%
10        湖北        3.66%
11        海外        3.52%",
Xiaohan,行走达拉斯的張姑娘🎈,https://www.xiaohongshu.com/user/profile/5afe57874eacab6bff64b75b,5afe57874eacab6bff64b75b,定居DFW九年 资深老达拉斯一枚 吃吃喝喝玩玩乐乐~,,F,330,916,5382,,美国,40,0,,甜筒薯,,85.24,16.49,25.42,32.98,17.12,7.96,"1        美食        6.98%
2        时尚        5.62%
3        家居家装        5.01%
4        影视        4.64%
5        美妆        4.18%","1        广东        11.03%
2        江苏        7.60%
3        山东        6.93%
4        浙江        6.49%
5        上海        5.72%",
Xiaohan,闲不住的黄姨,https://www.xiaohongshu.com/user/profile/5859b26f6a6a6967855d7c65,5859b26f6a6a6967855d7c65,🇺🇸不知道为啥被身边小伙伴叫黄姨，黄姨就黄姨吧～有只长毛橘叫小满 🍐ENFJ 170cm 60kg 🎼Part-time event planner 👩🏻分享生活|美食|旅行|旗袍,Gemini,F,190,884,12000,,"美国, 旅行博主",30,0,,泡泡薯,,86.98,23.69,25.65,28.53,14.64,7.47,"1        美食        6.12%
2        时尚        5.17%
3        影视        5.00%
4        素材        4.82%
5        娱乐        4.18%","1        广东        10.70%
2        江苏        7.54%
3        山东        6.82%
4        浙江        6.16%
5        上海        5.88%",
Xiaohan,淘🐱喵,https://www.xiaohongshu.com/user/profile/5c64384000000000110164ad,5c64384000000000110164ad,记录达拉斯日常,,F,97,777,4640,,,30,0,,泡泡薯,,84.12,25.14,24.46,25.83,15.97,8.58,"1        美食        5.85%
2        影视        4.88%
3        素材        4.40%
4        时尚        4.34%
5        娱乐        4.14%","1        广东        9.66%
2        山东        6.65%
3        江苏        6.49%
4        河南        5.56%
5        浙江        4.99%",
Xiaohan,Charlotte小盆友,https://www.xiaohongshu.com/user/profile/57fdaead82ec3961690f6b93,57fdaead82ec3961690f6b93,"Foodie🍰 Workout💪 Frenchie🐶 ❤️很多有趣的事物 Dallas, TX",,F,1381,727,11000,,UnitedStates,30,0,,小马薯,,86.53,20.83,28.48,30.36,13.76,6.55,"1        美食        6.75%
2        时尚        5.06%
3        影视        4.95%
4        素材        4.63%
5        家居家装        4.17%","1        广东        10.74%
2        江苏        7.42%
3        山东        7.04%
4        浙江        6.05%
5        河南        5.80%",
Xiaohan,A+女神,https://www.xiaohongshu.com/user/profile/591cf96250c4b428b4eff077,591cf96250c4b428b4eff077,- 一个超级爱吃爱探店爱分享的户外运动‍爱好者。 - 致力于发掘周边和旅途中的各种美食美景 - 笔记都有整理，请配合收藏夹食用。,,F,483,726,9737,,UnitedStates,30,0,,泡泡薯,,87.9,13.54,32.82,36.38,12.76,4.49,"1        美食        7.65%
2        时尚        5.59%
3        美妆        4.70%
4        出行        4.59%
5        素材        4.58%","1        广东        11.13%
2        江苏        8.01%
3        山东        6.93%
4        浙江        6.49%
5        河南        5.66%",
Xiaohan,AAAbby,https://www.xiaohongshu.com/user/profile/5f8e26de000000000101de15,5f8e26de000000000101de15,Love never fails. 带证上岗的无名老师,,F,171,598,4544,,,30,0,,困困薯,,85.86,31.44,24.02,21.68,15.67,7.16,"1        影视        4.36%
2        美食        4.35%
3        素材        3.98%
4        教育        3.83%
5        时尚        3.70%","1        广东        8.08%
2        山东        5.56%
3        江苏        5.31%
4        河南        4.79%
5        浙江        3.96%",
Xiaohan,杜松混合茉莉的风,https://www.xiaohongshu.com/user/profile/5ec7a678000000000100322e,5ec7a678000000000100322e,美妆：非专业认真研究人士。 美食：愿尝遍天下美食+爱做饭贤妻。 健身：七年+160cm+48kg+19% 学习：中专生一路打怪升级到在美国读本科。 交友：喜欢结交不装逼不做作真实有趣的友-ENTJ人,,F,413,705,8335,,美国,20,0,,泡泡薯,,91.88,64.38,25.8,4.43,3.38,1.99,"1        素材        9.40%
2        影视        7.18%
3        娱乐        5.90%
4        人文        5.30%
5        兴趣爱好        4.85%",,
Xiaohan,Peach is yummy,https://www.xiaohongshu.com/user/profile/5cf39f8e000000001701f516,5cf39f8e000000001701f516,北美达拉斯吃喝玩乐小博主 ❤️：三坑：汉服，洛丽塔，jk ❤️：美食，旅游，海边，大自然，🐱,Scorpio,F,803,626,4620,,"美国得克萨斯, 探店博主",20,0,,甜筒薯,,85.72,21.33,22.25,35.38,15.67,5.14,"1        美食        7.15%
2        时尚        5.02%
3        素材        4.98%
4        影视        4.95%
5        出行        4.73%","1        广东        10.72%
2        江苏        7.63%
3        上海        7.10%
4        山东        6.75%
5        浙江        6.48%",
Xiaohan,久久Anita_Ta,https://www.xiaohongshu.com/user/profile/589f2a696a6a69228d063c80,589f2a696a6a69228d063c80,"📍波士顿、达拉斯、纽约
～～ 分享美好生活 ～～
探店｜旅游｜穿搭｜留学
⊹🤍 *✩‧₊˚𝙳𝚊𝚒𝚕𝚢 𝚙𝚑𝚘𝚝𝚘𝚜˚₊‧✩*🤍₊⁺",,F,417,4478,18k,,US,10,0,,泡泡薯,67.11,86.85,15.14,31.74,34.84,13.24,5.02,"1	美食	6.50%
2	时尚	5.09%
3	素材	4.28%
4	出行	4.18%
5	影视	4.03%","1	广东	10.37%
2	江苏	7.25%
3	山东	6.13%
4	浙江	5.92%
5	河南	5.14%",
Xiaohan,黑胡椒点点,https://www.xiaohongshu.com/user/profile/61476c9f0000000002020845,61476c9f0000000002020845,"📍常驻休斯顿/奥斯汀的咨询打工人
🍣美食探店｜🏄‍♀️旅游攻略
以及打工人偶尔发疯的日常
📍HOU/ATX Based Consultant
Howdy! 🤘👋",,F,27,1123,49k,,US,10,0,,金冠薯,73.58,76.43,20.97,27.22,25.1,16.35,10.33,"1        影视        4.51%
2        美食        4.50%
3        时尚        3.82%
4        娱乐        3.75%
5        兴趣爱好        3.04%","1        广东        8.31%
2        江苏        5.77%
3        山东        5.26%
4        浙江        4.41%
5        河南        4.04%",
Xiaohan,木兮Muya,https://www.xiaohongshu.com/user/profile/59417dd15e87e7122b80b498,59417dd15e87e7122b80b498,UW-Madison 21届美少女😆 美国注册会计师 CPA✌️ 现在Dallas🥳 喜欢road-trip喜欢吃喝玩 📬563412vicky@gmail.com,Sagittarius,F,119,935,5282,,,10,0,,泡泡薯,,82.24,26.21,21.83,24.79,16.39,10.76,"1        美食        7.22%
2        影视        5.40%
3        时尚        4.42%
4        娱乐        4.22%
5        素材        4.08%","1        广东        9.92%
2        山东        6.84%
3        江苏        6.72%
4        河南        5.54%
5        浙江        5.14%",
Xiaohan,REEWERT,https://www.xiaohongshu.com/user/profile/57f5f8b06a6a6963e65ffc89,57f5f8b06a6a6963e65ffc89,"德州🇺🇸 | JHUer DC🇺🇸 |北京🇨🇳
ESTJ | 双子 | 美食旅游探店小能手🧚‍♀️
Risk打工🐶 Pilates 教练🧘🏻‍♀️
ig：reewert526",Gemini,F,739,665,9668,,"美国TX, 美食博主, 旅行博主, 约翰霍普金斯大学",10,0,,困困薯,,79.72,21.61,36.34,27.24,10.34,4.44,"1        美食        6.44%
2        时尚        5.77%
3        影视        5.21%
4        素材        4.08%
5        娱乐        4.01%","1        广东        11.28%
2        山东        6.62%
3        江苏        6.39%
4        河南        5.64%
5        浙江        5.43%",
Xiaohan,嘟嘟嘟,https://www.xiaohongshu.com/user/profile/56b2e6dae4251d7f46ab14e3,56b2e6dae4251d7f46ab14e3,工程师一枚。日常穿搭，护肤美妆，家居厨卫，都很感兴趣～,Taurus,F,440,545,9493,,美国,10,0,,泡泡薯,,87.51,15.61,29.01,33.58,15.22,6.56,"1        美食        6.65%
2        时尚        6.35%
3        影视        4.66%
4        家居家装        4.37%
5        美妆        4.35%","1        广东        10.99%
2        江苏        7.37%
3        山东        6.78%
4        浙江        6.38%
5        河南        5.59%
6        上海        4.52%
7        四川        4.31%
8        河北        4.02%
9        北京        3.97%
10        湖北        3.64%
11        湖南        3.53%
12        安徽        3.26%
13        福建        3.09%
14        海外        2.90%",
Xiaohan,薯条是本命,https://www.xiaohongshu.com/user/profile/595b8e775e87e737755bf1bd,595b8e775e87e737755bf1bd,𝙀𝙣𝙟𝙤𝙮 𝙡𝙞𝙛𝙚 ʚ🧸ྀིɞ 📍Dallas 🦋ig: yvonneyifanhe 📮 yvonneyifanhe@gmail.com,,F,439,6359,71036,,"26岁, UnitedStates, vlog博主, 罗彻斯特大学",0,1,优秀,金冠薯,49.83,94.3,9.81,44.29,38.56,5.13,2.21,"1        时尚        10.30%
2        美食        9.50%
3        娱乐        9.20%
4        生活记录        8.50%
5        美妆        7.30%","1        广东        13.60%
2        海外        13.50%
3        江苏        6.80%
4        浙江        6.80%
5        上海        6.60%",
Xiaohan,似那山水似星辰,https://www.xiaohongshu.com/user/profile/558a4a065894460336de85bf,558a4a065894460336de85bf,梦想是世界各地旅居，目前在美留学。要吃好吃的，没法穷游。 喜欢文物和博物馆，爱写又臭又长的游记。 两人对酌山花开，我与诸君俱发财。 万里归来年愈少，千金散尽还复来。 claregogo@163.com,,F,440,903,51307,,旅行博主,20,0,,困困薯,,86.45,28.71,29.74,24.64,11.29,5.59,"1        美食        6.45%
2        影视        6.35%
3        时尚        5.75%
4        娱乐        5.02%
5        素材        4.88%
6        教育        4.03%
7        兴趣爱好        4.01%
8        生活记录        3.66%
9        家居家装        3.62%
10        美妆        3.61%
11        情感        3.15%
12        人文        3.14%
13        出行        3.12%
14        科技数码        2.98%
15        健康        2.11%
16        游戏        1.94%
17        摄影        1.73%
18        搞笑        1.71%
19        母婴        1.37%
20        潮流        1.35%","1        广东        11.04%
2        山东        7.35%
3        江苏        6.93%
4        河南        5.95%
5        浙江        5.60%
6        河北        4.65%
7        四川        4.21%
8        北京        3.61%
9        上海        3.61%
10        湖南        3.56%
11        湖北        3.46%
12        安徽        3.28%
13        福建        3.06%
14        辽宁        2.99%
15        海外        2.97%",
Xiaohan,Summer小兔几,https://www.xiaohongshu.com/user/profile/5aa1bb384eacab56033470ce,5aa1bb384eacab56033470ce,心血来潮更新一次的懒懒薯～,Pisces,F,502,544,11817,,美国,20,0,,困困薯,,86.16,17.83,27.44,32.96,14.76,6.99,"1        美食        7.09%
2        时尚        5.11%
3        影视        4.75%
4        素材        4.30%
5        家居家装        4.12%
6        娱乐        4.02%
7        美妆        3.78%
8        出行        3.73%
9        教育        3.62%
10        兴趣爱好        3.53%
11        健康        3.37%
12        科技数码        3.30%
13        生活记录        3.08%
14        人文        2.98%
15        母婴        2.48%
16        情感        2.38%
17        潮流        1.99%
18        摄影        1.83%
19        知识        0.95%
20        游戏        0.94%","1        广东        11.13%
2        江苏        7.04%
3        山东        6.81%
4        浙江        5.95%
5        河南        5.64%",
Xiaohan,杨小悬,https://www.xiaohongshu.com/user/profile/5b778c2d5b95340001d6de60,5b778c2d5b95340001d6de60,白羊INFP-A 欢迎来到我的朋友圈,,F,827,507,8932,,"27岁, 美国, 南卫理公会大学",20,0,,泡泡薯,,92.49,25.31,37.97,25.8,8.36,2.54,"1        时尚        5.97%
2        美食        5.61%
3        素材        5.35%
4        影视        5.12%
5        美妆        4.67%
6        娱乐        4.49%
7        教育        4.25%
8        科技数码        3.60%
9        兴趣爱好        3.58%
10        出行        3.56%
11        家居家装        3.47%
12        人文        3.21%
13        生活记录        3.17%
14        情感        2.95%
15        健康        2.46%
16        摄影        2.32%
17        潮流        2.13%
18        游戏        1.72%
19        知识        1.53%
20        母婴        1.46%","1        广东        10.86%
2        江苏        7.08%
3        山东        7.02%
4        河南        6.06%
5        浙江        5.74%
6        河北        4.35%
7        四川        4.32%
8        湖南        3.72%
9        湖北        3.61%
10        上海        3.55%
11        北京        3.49%
12        安徽        3.39%
13        福建        3.14%
14        海外        3.00%
15        陕西        2.84%
16        辽宁        2.79%
17        江西        2.40%
18        广西        2.04%
19        山西        2.02%
20        重庆        1.91%",
Xiaohan,Mrs Girl,https://www.xiaohongshu.com/user/profile/625cc665000000001000e71f,625cc665000000001000e71f,,,F,2791,500,3965,,,10,0,,甜筒薯,,86.97,22.81,23.46,30.54,15.46,7.73,"1        美食        7.73%
2        影视        5.10%
3        素材        4.95%
4        时尚        4.81%
5        娱乐        4.08%
6        家居家装        4.04%
7        兴趣爱好        4.03%
8        出行        3.87%
9        教育        3.62%
10        生活记录        3.29%
11        人文        3.27%
12        科技数码        3.22%
13        美妆        3.21%
14        健康        3.09%
15        母婴        2.57%
16        情感        2.33%
17        摄影        2.13%
18        潮流        1.85%
19        搞笑        1.32%
20        游戏        1.31%","1        广东        10.53%
2        江苏        7.50%
3        山东        7.35%
4        河南        6.25%
5        浙江        5.89%
6        河北        4.87%
7        四川        4.22%
8        上海        3.85%
9        湖北        3.56%
10        北京        3.46%
11        安徽        3.46%
12        湖南        3.45%
13        辽宁        3.25%
14        陕西        2.99%
15        福建        2.99%
16        海外        2.80%",
Xiaohan,香蕉国大王,https://www.xiaohongshu.com/user/profile/568b2f486a6a6962f22d07ba,568b2f486a6a6962f22d07ba,钢琴博士在读 大福🐱 元宝🐶 上课请私信🎹📩,Taurus,F,936,431,2356,,美国,10,0,,泡泡薯,,86.5,24.91,31.06,26.45,12.26,5.28,"1        美食        6.14%
2        时尚        5.36%
3        影视        5.31%
4        素材        4.39%
5        娱乐        4.28%
6        教育        3.96%
7        兴趣爱好        3.62%
8        生活记录        3.47%
9        家居家装        3.43%
10        美妆        3.35%
11        出行        3.24%
12        科技数码        3.02%
13        人文        2.74%
14        情感        2.69%
15        健康        2.21%
16        摄影        1.95%
17        潮流        1.46%
18        母婴        1.43%
19        搞笑        1.33%
20        游戏        1.33%
","1        广东        10.39%
2        山东        6.60%
3        江苏        6.53%
4        河南        5.48%
5        浙江        5.27%
6        河北        4.06%
7        四川        3.90%
8        海外        3.53%
9        北京        3.51%
10        上海        3.39%
11        湖南        3.31%
12        湖北        3.30%
13        安徽        2.99%
14        福建        2.88%
15        陕西        2.71%
16        辽宁        2.69%
17        江西        2.14%
18        广西        1.96%
19        山西        1.94%
20        云南        1.77%",
Xiaohan,微笑微笑,https://www.xiaohongshu.com/user/profile/613f2b6a000000000201f3ba,613f2b6a000000000201f3ba,这个人非常有毛病,,F,18,425,1894,,美国TX,10,0,,困困薯,,77.87,22.89,23.73,27.29,16.85,9.22,"1        美食        6.34%
2        影视        5.28%
3        时尚        5.22%
4        娱乐        4.41%
5        生活记录        3.99%
6        素材        3.96%
7        家居家装        3.85%
8        教育        3.52%
9        兴趣爱好        3.25%
10        出行        3.01%
11        科技数码        2.73%
12        情感        2.67%
13        美妆        2.63%
14        人文        2.62%
15        健康        2.34%
16        搞笑        1.53%
17        摄影        1.41%
18        母婴        1.41%
19        游戏        1.20%
20        潮流        1.17%","1        广东        10.50%
2        山东        6.87%
3        江苏        6.69%
4        河南        5.39%
5        浙江        5.22%
6        河北        4.30%
7        四川        3.74%
8        北京        3.70%
9        上海        3.51%
10        湖北        3.29%
11        湖南        3.19%
12        海外        2.99%",
Xiaohan,人生励志当肥宅,https://www.xiaohongshu.com/user/profile/5ab3172c11be105422211c84,5ab3172c11be105422211c84,,,F,139,394,5337,,"UnitedStates, 建筑工人",10,0,,困困薯,,91.88,64.38,25.8,4.43,3.38,1.99,"1        素材        9.40%
2        影视        7.18%
3        娱乐        5.90%
4        人文        5.30%
5        兴趣爱好        4.85%","1	山东	8.40%
2	河南	8.38%
3	广东	8.36%
4	江苏	7.18%
5	河北	5.45%",
Xiaohan,Rosemary🍓,https://www.xiaohongshu.com/user/profile/5cfc717b000000000501b4de,5cfc717b000000000501b4de,愿世界和平,,F,395,370,3390,,,,,,,,,,,,,,,,
Xiaohan,小李多喝水,https://www.xiaohongshu.com/user/profile/5d6c539f000000000101bbfd,5d6c539f000000000101bbfd,🌟不定时分享吃喝玩乐🐭,,F,152,342,3280,,,10,0,,泡泡薯,,91.88,64.38,25.8,4.43,3.38,1.99,"1        素材        9.40%
2        影视        7.18%
3        娱乐        5.90%
4        人文        5.30%
5        兴趣爱好        4.85%
6        教育        4.15%
7        时尚        4.00%
8        生活记录        3.60%
9        游戏        3.58%
10        科技数码        3.46%
11        美食        3.23%
12        情感        3.20%
13        搞笑        3.03%
14        摄影        2.95%
15        家居家装        2.46%
16        知识        2.41%
17        出行        2.38%
18        萌娃        1.16%
19        潮流        1.15%
20        美妆        1.10%","1        山东        8.40%
2        河南        8.38%
3        广东        8.36%
4        江苏        7.18%
5        河北        5.45%
6        四川        4.53%
7        湖南        4.48%
8        安徽        4.46%
9        浙江        4.24%
10        陕西        3.68%
11        湖北        3.55%
12        福建        3.15%
13        江西        3.01%
14        辽宁        2.53%
15        山西        2.51%
16        广西        2.35%
17        云南        2.31%
18        台湾        2.26%
19        重庆        1.90%
20        贵州        1.80%
21        黑龙江        1.75%
22        甘肃        1.71%
23        内蒙古        1.60%
24        海外        1.60%",
Xiaohan,童真,https://www.xiaohongshu.com/user/profile/5df4c6bb000000000100b24b,5df4c6bb000000000100b24b,中美情侶🇨🇳🇺🇸@Raphael 异国恋不易，且行且珍惜。,,F,189,341,1069,,,10,0,,泡泡薯,,91.88,64.38,25.8,4.43,3.38,1.99,"1        素材        9.40%
2        影视        7.18%
3        娱乐        5.90%
4        人文        5.30%
5        兴趣爱好        4.85%
6        教育        4.15%
7        时尚        4.00%
8        生活记录        3.60%
9        游戏        3.58%
10        科技数码        3.46%
11        美食        3.23%
12        情感        3.20%
13        搞笑        3.03%
14        摄影        2.95%
15        家居家装        2.46%
16        知识        2.41%
17        出行        2.38%
18        萌娃        1.16%
19        潮流        1.15%
20        美妆        1.10%","1        山东        8.40%
2        河南        8.38%
3        广东        8.36%
4        江苏        7.18%
5        河北        5.45%
6        四川        4.53%
7        湖南        4.48%
8        安徽        4.46%
9        浙江        4.24%
10        陕西        3.68%
11        湖北        3.55%
12        福建        3.15%
13        江西        3.01%
14        辽宁        2.53%
15        山西        2.51%
16        广西        2.35%
17        云南        2.31%
18        台湾        2.26%
19        重庆        1.90%
20        贵州        1.80%
21        黑龙江        1.75%
22        甘肃        1.71%
23        内蒙古        1.60%
24        海外        1.60%
25        吉林        1.51%
26        上海        1.41%
27        北京        1.33%
28        新疆        1.25%",
Xiaohan,西瓜lyxxx,https://www.xiaohongshu.com/user/profile/5aa34d334eacab095adb82e3,5aa34d334eacab095adb82e3,｜反内耗反焦虑联盟副主席（正的等你来）｜爱吃爱玩委员会成员｜哈哈哈哈怪｜ “自己”就是你生命中最棒的意义 Always keep the faith,,F,66,330,9762,,,10,0,,泡泡薯,,91.78,48.14,29,13.23,7.04,2.57,"1        影视        6.83%
2        素材        6.79%
3        娱乐        6.07%
4        时尚        4.98%
5        美食        4.87%
6        兴趣爱好        4.64%
7        教育        4.45%
8        人文        4.21%
9        生活记录        3.65%
10        科技数码        3.45%
11        情感        3.01%
12        游戏        3.00%
13        家居家装        2.89%
14        美妆        2.81%
15        出行        2.70%
16        搞笑        2.59%
17        摄影        2.14%
18        知识        1.73%
19        健康        1.05%
20        潮流        1.04%
","1        广东        9.13%
2        山东        8.89%
3        河南        7.13%
4        江苏        6.90%
5        河北        6.24%
6        浙江        4.64%
7        四川        3.97%
8        湖南        3.54%
9        辽宁        3.50%
10        安徽        3.45%
11        湖北        3.26%
12        北京        3.20%
13        陕西        3.04%
14        福建        2.96%
15        上海        2.53%
16        海外        2.51%",
Xiaohan,Hot girl,https://www.xiaohongshu.com/user/profile/5bf0eea1da9ae10001cfd0a1,5bf0eea1da9ae10001cfd0a1,🫵,,F,199,277,5984,,,10,0,,泡泡薯,,85.91,17.02,21.36,28.09,18.9,14.6,"1        美食        7.84%
2        家居家装        5.45%
3        时尚        5.00%
4        影视        4.93%
5        兴趣爱好        3.99%
6        娱乐        3.97%
7        素材        3.65%
8        生活记录        3.62%
9        健康        3.57%
10        教育        3.41%
11        出行        3.28%
12        美妆        3.23%
13        科技数码        2.73%
14        人文        2.68%
15        情感        2.25%
16        母婴        2.17%
17        潮流        1.72%
18        摄影        1.49%
19        搞笑        1.43%
20        健身减肥        1.24%","1        广东        10.30%
2        江苏        7.30%
3        山东        6.88%
4        浙江        5.93%
5        河南        5.50%
6        四川        4.41%
7        河北        4.20%
8        北京        3.89%
9        上海        3.80%
10        湖北        3.53%
11        湖南        3.37%
12        海外        3.20%",
Xiaohan,Styleindallas,https://www.xiaohongshu.com/user/profile/6785e363000000000801d306,6785e363000000000801d306,"Fashion, beauty , aesthetic 📸 Married 💍 Insta/tt: styleindallasss",,F,32,246,6633,,UnitedStates,找不到,,,,,,,,,,,,,
Xiaohan,达拉斯赵德柱,https://www.xiaohongshu.com/user/profile/5b6a0b58c207e50001f9124d,5b6a0b58c207e50001f9124d,美国第一流量汗,,M,2842,591,5561,,"35岁, 美国",20,0,,泡泡薯,,76.02,23.11,24.45,26.61,16.15,9.65,"1        美食        6.67%
2        影视        5.90%
3        时尚        5.54%
4        家居家装        4.79%
5        生活记录        4.59%","1        广东        11.27%
2        江苏        7.33%
3        山东        7.14%
4        浙江        6.20%
5        河南        5.21%",
Xiaohan,tyooo,https://www.xiaohongshu.com/user/profile/5a6ada44db2e6012444e4a39,5a6ada44db2e6012444e4a39,坐标Dallas TX 努力生活中……,,M,113,1822,47000,,,10,0,,困困薯,88.99,80.07,36.32,29.23,19.59,10.6,4.23,"1        影视        5.79%
2        美食        4.50%
3        娱乐        4.44%
4        时尚        4.32%
5        素材        3.77%","1        广东        7.17%
2        山东        6.00%
3        江苏        4.85%
4        河南        4.81%
5        河北        3.87%",
Xiaohan,银河战舰,https://www.xiaohongshu.com/user/profile/5fdc406c000000000100ad2e,5fdc406c000000000100ad2e,喜欢车，但是不是专业的，业余爱好者，带你们看美国新车二手车市场价格，喜欢的人加关注交个朋友吧！,Cancer,M,221,582,8191,,美国,10,0,,困困薯,,85.92,13.75,31.26,32.43,14.96,7.58,"1        美食        3.21%
2        时尚        2.92%
3        家居家装        2.55%
4        美妆        2.27%
5        娱乐        2.18%","1        广东        5.62%
2        江苏        3.79%
3        山东        3.52%
4        浙江        3.30%
5        河南        2.67%",
Xiaohan,杰弗瑞达拉斯JeffreyDallas,https://www.xiaohongshu.com/user/profile/67845b1b000000000801f5d8,67845b1b000000000801f5d8,抖音难民 感谢您的盛情款待 GenX TikTok Refugee,,M,2605,667,5554,,UnitedStates,130,0,,Null,,Null,Null,Null,Null,Null,Null,Null,Null,
Xiaohan,亚瑟在达拉斯,https://www.xiaohongshu.com/user/profile/6349a37f000000001802bbed,6349a37f000000001802bbed,🇺🇸旅美12年，95后东北人在达拉斯 TikTok创业中💪 相信【相信】的力量👊,,M,14,430,2844,,美国TX,10,0,,Null,,Null,Null,Null,Null,Null,Null,Null,Null,
Xiaohan,Momo我来助你,https://www.xiaohongshu.com/user/profile/627d9846000000002102336f,627d9846000000002102336f,还没有简介,,M,1198,415,13000,,,10,0,,困困薯,,91.88,64.38,25.8,4.43,3.38,1.99,"1        素材        9.40%
2        影视        7.18%
3        娱乐        5.90%
4        人文        5.30%
5        兴趣爱好        4.85%
6        教育        4.15%
7        时尚        4.00%
8        生活记录        3.60%
9        游戏        3.58%
10        科技数码        3.46%
11        美食        3.23%
12        情感        3.20%
13        搞笑        3.03%
14        摄影        2.95%
15        家居家装        2.46%
16        知识        2.41%
17        出行        2.38%
18        萌娃        1.16%
19        潮流        1.15%
20        美妆        1.10%","1        山东        8.40%
2        河南        8.38%
3        广东        8.36%
4        江苏        7.18%
5        河北        5.45%
6        四川        4.53%
7        湖南        4.48%
8        安徽        4.46%
9        浙江        4.24%
10        陕西        3.68%
11        湖北        3.55%
12        福建        3.15%
13        江西        3.01%
14        辽宁        2.53%
15        山西        2.51%
16        广西        2.35%
17        云南        2.31%
18        台湾        2.26%
19        重庆        1.90%
20        贵州        1.80%
21        黑龙江        1.75%
22        甘肃        1.71%
23        内蒙古        1.60%
24        海外        1.60%",
Ning,RAINA爱美丽,https://www.xiaohongshu.com/user/profile/5f03c93d000000000100466e?xsec_token=AB0NWQUG2qy5nRPLhAA6RdW7DMes4l4Yss0Zng-57E-bU=&xsec_source=pc_search,5f03c93d000000000100466e,"美妆护肤｜日常v l o g｜育儿｜探店｜旅游
励志让每个关注我的女孩变得更漂亮更开心！
📍达拉斯美国 江苏
💗好物种草
💗家有一个女娃滑板",,F,2014,2054,15093,,,250,1,,,46.78,70.63,18.87,14.28,28.03,30.03,8.77,"1        生活记录        11.39%
2        娱乐        8.78%
3        美食        8.32%
4        时尚        7.84%
5        影视        5.27%","1        海外        31.76%
2        江苏        9.73%
3        广东        8.04%
4        上海        4.64%
5        山东        4.30%",
Ning,Sherry是睿睿呀,https://www.xiaohongshu.com/user/profile/5649379603eb842b7ed00477?xsec_token=AB_w5tX7QDKDqxDirwjUrIWLT3e7tIZgwd2k8ycIiZJUs=&xsec_source=pc_search,5649379603eb842b7ed00477,"北美生活探店| Chinese Girl in Dallas TX
吃喝玩乐样样行 | 坐标达拉斯 | Let's making friends",,F,1173,1326,28064,,,100,1,,,70.15,81.1,2.03,11.42,56.56,24.09,5.88,"1        美食        10.50%
2        时尚        9.08%
3        生活记录        8.75%
4        娱乐        8.69%
5        美妆        6.28%","1        海外        17.13%
2        广东        12.42%
3        江苏        9.08%
4        北京        8.56%
5        浙江        8.14%",
Ning,间歇减肥的吃货柳🤪,https://www.xiaohongshu.com/user/profile/5a700b5de8ac2b38e1053423,5a700b5de8ac2b38e1053423,"📍🇺🇸Dallas
🧡地平线房顶工程公司
⬆️房顶服务范围：达拉斯·奥斯汀·休斯顿
🤪被干房顶工程耽误的探店吃货、旅行博主
🎞️66传媒 🦙小农场66 Ranch 🧘‍♀️佛系回复",,F,665,2454,14868,,,90,0,,,45.87,89.2,12.6,31.06,39.45,13.05,3.81,"1        美食        7.21%
2        时尚        5.73%
3        美妆        4.85%
4        出行        4.59%
5        素材        4.55%","1        广东        11.69%
2        江苏        7.50%
3        山东        6.71%
4        浙江        6.42%
5        河南        5.52%",
Ning,达拉斯幸福家Hannah,https://www.xiaohongshu.com/user/profile/62f0659d000000001f015932?xsec_token=AB6WjQv3r3YYTmivesudVEv9CyBnN2_78_Xq37y65jcEU=&xsec_source=pc_search,62f0659d000000001f015932,HannahRealtor,,F,276,1875,6475,,,60,0,,,47.4,85.06,10.19,32.54,40.92,12.3,4.02,"1        美食        7.50%
2        时尚        5.53%
3        美妆        4.66%
4        出行        4.64%
5        素材        4.44%","1        广东        12.48%
2        江苏        7.56%
3        浙江        6.96%
4        山东        6.63%
5        河南        5.43%",
